video_title,video_id,video_thumbnail,upload_date,video_description
Chris Weidman vs Lyoto Machida,tQgA4UJt9jA,https://i.ytimg.com/vi/tQgA4UJt9jA/maxresdefault.jpg,19/08/2020,"After stunning a lot of people with back-to-back wins over Anderson Silva, Chris Weidman defeated another Brazilian in Lyoto Machida for his second title defense at UFC 175 in 2014."
Anderson Silva vs Chael Sonnen,DpLaqnwFQEY,https://i.ytimg.com/vi/DpLaqnwFQEY/maxresdefault.jpg,19/08/2020,Anderson Silva met Chael Sonnen almost 10 years ago at UFC 117 for Silva's seventh middleweight title defense. Silva and Sonnen would meet again two years later at UFC 148.
Jon Jones vs Alexander Gustafsson,b7MeXwGku5E,https://i.ytimg.com/vi/b7MeXwGku5E/maxresdefault.jpg,19/08/2020,UFC - Ultimate Fghiting
Max Holloway vs Alexander Volkonovski,oaeTtOQVfWw,https://i.ytimg.com/vi/oaeTtOQVfWw/maxresdefault.jpg,01/10/2020,Alexander Volkonovski promised he was the man to beat Max Holloway in the featherweight division. He wasn't lying... On July 11th they run it back!
Tyron Woodley vs Gilbert Burns,WCPBr1_MaWg,https://i.ytimg.com/vi/WCPBr1_MaWg/maxresdefault.jpg,01/10/2020,Gilbert Burns came in to the fight with Tyron Woodley on a five-fight win streak. It was an utter domination from the number one contender...
fight! Woodley vs Wonderboy full,8Xb55612vTE,https://i.ytimg.com/vi/8Xb55612vTE/maxresdefault.jpg,01/10/2020,"Tyron Woodley and Stephen ""Wonderboy"" Thompson put on a five-round classic as the co-main event at UFC 205..."
Khabib Nurmagomedov vs Dustin Poirier,uVVdRwXFpG4,https://i.ytimg.com/vi/uVVdRwXFpG4/maxresdefault.jpg,28/01/2021,"Watch #UFC254: Khabib v Gaethje at 7pm on October 24th, live on BT Sport Box Office ➡️ https://www.bt.com/sport/box-office/"
Dan Hooker vs Michael Chandler,9xr-FtUKPCo,https://i.ytimg.com/vi/9xr-FtUKPCo/maxresdefault.jpg,28/01/2021,Michael Chandler's highly-anticipated UFC debut delivered! He put on an incredible performance to swat aside Dan Hooker in just one round at #UFC257.
Justin Gaethje vs Tony Ferguson,bx82GzO1Isk,https://i.ytimg.com/vi/bx82GzO1Isk/maxresdefault.jpg,28/01/2021,"Watch #UFC254: Khabib v Gaethje at 7pm on October 24th, live on BT Sport Box Office ➡️ https://www.bt.com/sport/box-office/"
Justin Gaethje vs Tony Ferguson,9iRvFn8wjJk,https://i.ytimg.com/vi/9iRvFn8wjJk/maxresdefault.jpg,28/01/2021,"Conor McGregor and Dustin Poirier have both stated they have agreed terms for a rematch, but a date has yet to be confirmed. In the meantime, take a look back at their first fight at UFC 178..."
